command_name,flag_pattern,count
awk,(no_flags),84
awk,-F,22
cut,-d-f,222
cut,-f,55
cut,-c,40
cut,-b,1
fmt,-w,4
grep,(no_flags),220
grep,-v,146
grep,-E-o,15
grep,-P-v,14
grep,-P-n,12
grep,-n,12
grep,-i,11
grep,-E,8
grep,-P,7
grep,-c,7
grep,-q,6
grep,-l-r,4
grep,-E-v,3
grep,-e,3
grep,--no-group-separator-A,2
grep,-E-i,2
grep,-E-q,2
grep,-P-o,2
grep,-l,2
grep,-m,2
grep,-o,2
grep,-q-v,2
grep,-E-i-w,1
grep,-E-v-w,1
grep,-H,1
grep,-H-i-n,1
grep,-H-n-r,1
grep,-c-q,1
grep,-c-v,1
grep,-i-v,1
grep,-i-w,1
grep,-r,1
paste,(no_flags),14
paste,-d-s,8
sed,(no_flags):s/.*/.*/g?p?q?,144
sed,"(no_flags):([0-9]+(,[0-9$]+)?)?((!d)|d|p|q)+",97
sed,(no_flags):unknown_pattern,41
sed,-e:s/.*/.*/g?p?q?,28
sed,(no_flags):/.*/((!d)|d|p|q)+,5
sed,-E:s/.*/.*/g?p?q?,3
sed,-e:unknown_pattern,3
sed,-n:s/.*/.*/g?p?q?,3
sed,-e-n:s/.*/.*/g?p?q?,2
sed,-E:unknown_pattern,1
tr,(no_flags),204
tr,-d,101
tr,-c,48
tr,-s,27
tr,-c-s,15
tr,-c-d,3
